"Gene","Celltype","Tissue","Mean_Expr","Pct_Expressing","N_cells"
"IHH","CD8Tex","Tumor",0,0,54
"IHH","CD8Tex","Metastatic",0,0,307
"IHH","CD8Tex","Relapsed",0,0,11
"IHH","Fibroblasts","Tumor",0,0,695
"IHH","Fibroblasts","Metastatic",0,0,94
"IHH","Fibroblasts","Relapsed",0,0,95
"IHH","Malignant","Tumor",0.0039,0.4001,4249
"IHH","Malignant","Metastatic",0,0,526
"IHH","Malignant","Relapsed",3e-04,0.0244,4101
"IHH","Mono/Macro","Tumor",0,0,59
"IHH","Mono/Macro","Metastatic",0,0,191
"IHH","Mono/Macro","Relapsed",0,0,9
"IHH","Myofibroblasts","Tumor",0,0,158
"IHH","Myofibroblasts","Metastatic",0,0,356
"IHH","Myofibroblasts","Relapsed",0,0,310
"PTCH1","CD8Tex","Tumor",0,0,54
"PTCH1","CD8Tex","Metastatic",0.0086,0.3257,307
"PTCH1","CD8Tex","Relapsed",0,0,11
"PTCH1","Fibroblasts","Tumor",0.0416,2.0144,695
"PTCH1","Fibroblasts","Metastatic",0.0094,1.0638,94
"PTCH1","Fibroblasts","Relapsed",0,0,95
"PTCH1","Malignant","Tumor",0.0532,3.5538,4249
"PTCH1","Malignant","Metastatic",0.03,1.9011,526
"PTCH1","Malignant","Relapsed",0.0219,1.1217,4101
"PTCH1","Mono/Macro","Tumor",0,0,59
"PTCH1","Mono/Macro","Metastatic",0,0,191
"PTCH1","Mono/Macro","Relapsed",0,0,9
"PTCH1","Myofibroblasts","Tumor",0.0066,0.6329,158
"PTCH1","Myofibroblasts","Metastatic",0,0,356
"PTCH1","Myofibroblasts","Relapsed",0.0253,1.2903,310
"PTCH2","CD8Tex","Tumor",0,0,54
"PTCH2","CD8Tex","Metastatic",0.0075,0.3257,307
"PTCH2","CD8Tex","Relapsed",0,0,11
"PTCH2","Fibroblasts","Tumor",0.0176,1.0072,695
"PTCH2","Fibroblasts","Metastatic",0,0,94
"PTCH2","Fibroblasts","Relapsed",0.0244,1.0526,95
"PTCH2","Malignant","Tumor",0.0471,2.8007,4249
"PTCH2","Malignant","Metastatic",0.0148,1.3308,526
"PTCH2","Malignant","Relapsed",0.0071,0.3901,4101
"PTCH2","Mono/Macro","Tumor",0.1717,6.7797,59
"PTCH2","Mono/Macro","Metastatic",0.0329,1.5707,191
"PTCH2","Mono/Macro","Relapsed",0,0,9
"PTCH2","Myofibroblasts","Tumor",0.024,1.2658,158
"PTCH2","Myofibroblasts","Metastatic",0.0243,1.1236,356
"PTCH2","Myofibroblasts","Relapsed",0.025,1.2903,310
"HHIP","CD8Tex","Tumor",0,0,54
"HHIP","CD8Tex","Metastatic",0.0091,0.3257,307
"HHIP","CD8Tex","Relapsed",0,0,11
"HHIP","Fibroblasts","Tumor",0.0587,3.1655,695
"HHIP","Fibroblasts","Metastatic",0.021,1.0638,94
"HHIP","Fibroblasts","Relapsed",0.066,3.1579,95
"HHIP","Malignant","Tumor",0.0022,0.1647,4249
"HHIP","Malignant","Metastatic",0.0043,0.1901,526
"HHIP","Malignant","Relapsed",0,0,4101
"HHIP","Mono/Macro","Tumor",0,0,59
"HHIP","Mono/Macro","Metastatic",0,0,191
"HHIP","Mono/Macro","Relapsed",0,0,9
"HHIP","Myofibroblasts","Tumor",0,0,158
"HHIP","Myofibroblasts","Metastatic",0,0,356
"HHIP","Myofibroblasts","Relapsed",0,0,310
"GLI1","CD8Tex","Tumor",0,0,54
"GLI1","CD8Tex","Metastatic",0,0,307
"GLI1","CD8Tex","Relapsed",0,0,11
"GLI1","Fibroblasts","Tumor",0.0089,0.4317,695
"GLI1","Fibroblasts","Metastatic",0,0,94
"GLI1","Fibroblasts","Relapsed",0,0,95
"GLI1","Malignant","Tumor",0.0021,0.1647,4249
"GLI1","Malignant","Metastatic",0.0065,0.5703,526
"GLI1","Malignant","Relapsed",3e-04,0.0244,4101
"GLI1","Mono/Macro","Tumor",0.046,1.6949,59
"GLI1","Mono/Macro","Metastatic",0,0,191
"GLI1","Mono/Macro","Relapsed",0,0,9
"GLI1","Myofibroblasts","Tumor",0,0,158
"GLI1","Myofibroblasts","Metastatic",0,0,356
"GLI1","Myofibroblasts","Relapsed",0,0,310
"GLI2","CD8Tex","Tumor",0,0,54
"GLI2","CD8Tex","Metastatic",0,0,307
"GLI2","CD8Tex","Relapsed",0,0,11
"GLI2","Fibroblasts","Tumor",0.0424,2.0144,695
"GLI2","Fibroblasts","Metastatic",0.0279,1.0638,94
"GLI2","Fibroblasts","Relapsed",0,0,95
"GLI2","Malignant","Tumor",0.0253,1.5062,4249
"GLI2","Malignant","Metastatic",0.009,0.7605,526
"GLI2","Malignant","Relapsed",0.0019,0.1219,4101
"GLI2","Mono/Macro","Tumor",0,0,59
"GLI2","Mono/Macro","Metastatic",0,0,191
"GLI2","Mono/Macro","Relapsed",0,0,9
"GLI2","Myofibroblasts","Tumor",0.029,1.2658,158
"GLI2","Myofibroblasts","Metastatic",0,0,356
"GLI2","Myofibroblasts","Relapsed",0.0076,0.3226,310
