"Gene","Signature","Spearman_rho","pval","padj","Sig"
"IHH","Checkpoint",0.019366,0.040279,0.114476,""
"IHH","CTL",-0.007184,0.446801,0.631558,""
"IHH","IFNG",0.024219,0.010319,0.046437,"*"
"IHH","IMPRES",0.013814,0.143528,0.26726,""
"IHH","Inflammatory",0.010704,0.257033,0.426443,""
"IHH","IPRES",0.006046,0.522019,0.671168,""
"IHH","T_cell_inflamed",0.010624,0.260604,0.426443,""
"IHH","TLS",0.005029,0.594354,0.722589,""
"IHH","T_quiescent",0.02738,0.003734,0.022404,"*"
"PTCH1","Checkpoint",0.029143,0.002025,0.013668,"*"
"PTCH1","CTL",-0.022274,0.018329,0.065985,""
"PTCH1","IFNG",0.008118,0.38998,0.56916,""
"PTCH1","IMPRES",0.01851,0.049974,0.126952,""
"PTCH1","Inflammatory",-0.024762,0.00873,0.042858,"*"
"PTCH1","IPRES",0.006123,0.516753,0.671168,""
"PTCH1","T_cell_inflamed",-0.003199,0.734799,0.785844,""
"PTCH1","TLS",0.011648,0.217418,0.378728,""
"PTCH1","T_quiescent",0.016608,0.078625,0.169829,""
"PTCH2","Checkpoint",0.010287,0.276028,0.438398,""
"PTCH2","CTL",-0.005555,0.556398,0.698732,""
"PTCH2","IFNG",0.047972,0,5e-06,"*"
"PTCH2","IMPRES",0.004923,0.602157,0.722589,""
"PTCH2","Inflammatory",0.06065,0,0,"*"
"PTCH2","IPRES",-0.003891,0.680354,0.781683,""
"PTCH2","T_cell_inflamed",0.017106,0.070069,0.157655,""
"PTCH2","TLS",-0.004039,0.668898,0.781683,""
"PTCH2","T_quiescent",0.014194,0.132809,0.256133,""
"HHIP","Checkpoint",0.020787,0.027715,0.093536,""
"HHIP","CTL",0.008233,0.38329,0.56916,""
"HHIP","IFNG",0.018371,0.051721,0.126952,""
"HHIP","IMPRES",0.023693,0.012101,0.050267,""
"HHIP","Inflammatory",0.020212,0.032316,0.10265,""
"HHIP","IPRES",0.063933,0,0,"*"
"HHIP","T_cell_inflamed",0.025423,0.007092,0.038299,"*"
"HHIP","TLS",0.051667,0,1e-06,"*"
"HHIP","T_quiescent",0.037524,7e-05,0.000761,"*"
"GLI1","Checkpoint",-0.006225,0.509786,0.671168,""
"GLI1","CTL",0.007038,0.456126,0.631558,""
"GLI1","IFNG",0.002316,0.806271,0.825923,""
"GLI1","IMPRES",0.003107,0.742186,0.785844,""
"GLI1","Inflammatory",0.002263,0.810628,0.825923,""
"GLI1","IPRES",0.023172,0.014129,0.054499,""
"GLI1","T_cell_inflamed",-0.003427,0.716672,0.785844,""
"GLI1","TLS",0.036065,0.000133,0.001029,"*"
"GLI1","T_quiescent",0.018774,0.046801,0.126364,""
"GLI2","Checkpoint",-0.014586,0.122442,0.244884,""
"GLI2","CTL",0.000738,0.937689,0.937689,""
"GLI2","IFNG",-0.012714,0.178213,0.320783,""
"GLI2","IMPRES",0.003431,0.716349,0.785844,""
"GLI2","Inflammatory",-0.015886,0.092511,0.192139,""
"GLI2","IPRES",0.036527,0.000109,0.000983,"*"
"GLI2","T_cell_inflamed",-0.009201,0.329918,0.509016,""
"GLI2","TLS",0.019963,0.034506,0.103517,""
"GLI2","T_quiescent",0.017299,0.066971,0.157237,""
