"Signature","Scope","N","Spearman_rho","pval","padj","Sig","Tissue"
"Checkpoint","All_cells",11215,0.017436,0.064823,0.108982,"","All"
"CTL","All_cells",11215,-0.016061,0.088973,0.114394,"","All"
"IFNG","All_cells",11215,0.031321,0.000909,0.002726,"*","All"
"IMPRES","All_cells",11215,0.01695,0.072655,0.108982,"","All"
"Inflammatory","All_cells",11215,0.014859,0.115612,0.130063,"","All"
"IPRES","All_cells",11215,0.033625,0.000369,0.001659,"*","All"
"T_cell_inflamed","All_cells",11215,0.006446,0.494879,0.494879,"","All"
"TLS","All_cells",11215,0.026409,0.005159,0.011608,"*","All"
"T_quiescent","All_cells",11215,0.036757,9.9e-05,0.000889,"*","All"
"Checkpoint","Malignant",8876,0.027972,0.008402,0.012603,"*","All_Malignant"
"CTL","Malignant",8876,-0.011482,0.279426,0.279426,"","All_Malignant"
"IFNG","Malignant",8876,0.038654,0.00027,0.000607,"*","All_Malignant"
"IMPRES","Malignant",8876,0.036371,0.00061,0.001097,"*","All_Malignant"
"Inflammatory","Malignant",8876,0.015019,0.157107,0.176745,"","All_Malignant"
"IPRES","Malignant",8876,0.054998,0,1e-06,"*","All_Malignant"
"T_cell_inflamed","Malignant",8876,0.021866,0.039397,0.050653,"","All_Malignant"
"TLS","Malignant",8876,0.041665,8.6e-05,0.000259,"*","All_Malignant"
"T_quiescent","Malignant",8876,0.059779,0,0,"*","All_Malignant"
"Checkpoint",NA,4249,0.018736,0.222073,0.399731,"","Tumor"
"Checkpoint",NA,526,0.072369,0.09732,0.227762,"","Metastatic"
"Checkpoint",NA,4101,-0.013833,0.375836,0.573203,"","Relapsed"
"CTL",NA,4249,-0.025146,0.101227,0.227762,"","Tumor"
"CTL",NA,526,0.027602,0.527615,0.647527,"","Metastatic"
"CTL",NA,4101,-0.011229,0.472195,0.607108,"","Relapsed"
"IFNG",NA,4249,0.027215,0.076101,0.205472,"","Tumor"
"IFNG",NA,526,0.006987,0.872992,0.944523,"","Metastatic"
"IFNG",NA,4101,0.034765,0.025993,0.097709,"","Relapsed"
"IMPRES",NA,4249,0.056924,0.000205,0.001847,"*","Tumor"
"IMPRES",NA,526,0.095244,0.028951,0.097709,"","Metastatic"
"IMPRES",NA,4101,-0.002466,0.874558,0.944523,"","Relapsed"
"Inflammatory",NA,4249,0.038109,0.012982,0.070102,"","Tumor"
"Inflammatory",NA,526,0.099271,0.022788,0.097709,"","Metastatic"
"Inflammatory",NA,4101,-0.020141,0.197211,0.380335,"","Relapsed"
"IPRES",NA,4249,0.068403,8e-06,0.000109,"*","Tumor"
"IPRES",NA,526,0.031658,0.468743,0.607108,"","Metastatic"
"IPRES",NA,4101,-0.000502,0.974342,0.974342,"","Relapsed"
"T_cell_inflamed",NA,4249,0.044069,0.004064,0.02743,"*","Tumor"
"T_cell_inflamed",NA,526,0.043998,0.313854,0.529629,"","Metastatic"
"T_cell_inflamed",NA,4101,-0.011557,0.459371,0.607108,"","Relapsed"
"TLS",NA,4249,0.02115,0.168086,0.349101,"","Tumor"
"TLS",NA,526,0.081078,0.063151,0.189452,"","Metastatic"
"TLS",NA,4101,0.000505,0.974218,0.974342,"","Relapsed"
"T_quiescent",NA,4249,0.105181,0,0,"*","Tumor"
"T_quiescent",NA,526,0.038184,0.382135,0.573203,"","Metastatic"
"T_quiescent",NA,4101,0.006688,0.668534,0.784801,"","Relapsed"
